GUID	|Time
399	|1,906893
400	|1,832287
401	|1,873736
402	|1,923619
403	|1,890458
404	|1,857122
405	|1,906901
406	|1,849
407	|1,840976
408	|1,73315
409	|1,906464
410	|1,912505
411	|1,926501
412	|1,873707
413	|1,790943
414	|1,848917
415	|1,898593
416	|1,782933
417	|1,906699
418	|1,849508
419	|1,849022
420	|1,873139
421	|1,799262
422	|1,873825
423	|2,015237
424	|1,790396
425	|1,749528
426	|1,863754
427	|1,834222
428	|1,840598
429	|1,824598
430	|1,699228
431	|1,832144
432	|1,81625
433	|1,824081
434	|1,790438
435	|1,766102
436	|1,790839
437	|1,807425
438	|1,807616
439	|1,707792
440	|1,783446
441	|1,848084
442	|1,865577
443	|1,76705
444	|1,847982
445	|1,848786
446	|1,832432
447	|1,716234
448	|1,799227
449	|1,74049
450	|2,189865
451	|1,724732
452	|1,848786
453	|1,749138
454	|1,8989
455	|1,923564
456	|1,881853
457	|1,791002
458	|1,956689
459	|1,978991
460	|1,860067
461	|1,865885
462	|1,898252
463	|1,956777
464	|1,948368
465	|1,791159
466	|1,757476
467	|1,832639
468	|1,830699
469	|2,057857
470	|1,907471
471	|1,91484
472	|1,832472
473	|1,773475
474	|1,841289
475	|1,937975
476	|1,926281
477	|1,923186
478	|1,886647
479	|1,836136
480	|1,890335
481	|1,857639
482	|1,940581
483	|1,856673
484	|1,857241
485	|1,765883
486	|1,782503
487	|1,757805
488	|1,832392
489	|1,749291
490	|1,865544
491	|1,724494
492	|1,831953
493	|1,883201
494	|1,88185
495	|1,807316
496	|1,824014
497	|1,840555
498	|1,774445
499	|1,816185
500	|1,815327
501	|1,81583
502	|1,782469
503	|1,840658
504	|1,800441
505	|1,822809
506	|1,914183
507	|2,074021
508	|1,832301
509	|1,824134
510	|1,80766
511	|1,781822
512	|1,75822
513	|1,774394
514	|1,791002
515	|1,807509
516	|1,882125
517	|1,848928
518	|1,807395
519	|1,832835
520	|1,873403
521	|1,865458
522	|1,865984
523	|1,657713
524	|1,790835
525	|2,265923
526	|2,087688
527	|1,804676
528	|1,818559
529	|1,790393
530	|1,857742
531	|1,77388
532	|1,906885
533	|1,824357
534	|1,8654
535	|1,882608
536	|1,807246
537	|1,807211
538	|1,907544
539	|1,964454
540	|1,882286
541	|1,915277
542	|1,857151
543	|2,036906
544	|1,843476
545	|1,948564
546	|1,882494
547	|1,931404
548	|1,782459
549	|1,75786
550	|1,765866
551	|1,774779
552	|1,815493
553	|1,774225
554	|1,840588
555	|1,874005
556	|1,87373
557	|1,849487
558	|1,831872
559	|1,732911
560	|1,848391
561	|1,774866
562	|1,774201
563	|1,757793
564	|1,815718
565	|1,873944
566	|1,832396
567	|1,823789
568	|1,940812
569	|1,807048
570	|1,898602
571	|1,823522
572	|1,758376
573	|1,79076
574	|1,774869
575	|1,699139
576	|1,799314
577	|1,7908
578	|1,874115
579	|1,945326
580	|1,893649
581	|1,873413
582	|1,923163
583	|1,998588
584	|1,832737
585	|1,865321
586	|1,890234
587	|1,898677
588	|1,948471
589	|1,749518
590	|1,798684
591	|1,77516
592	|1,898511
593	|1,8904
594	|1,757522
595	|1,920958
596	|1,810164
597	|1,816136
598	|1,890101
599	|1,915667
600	|1,91479
601	|1,898949
602	|1,815723
603	|1,82459
604	|1,807726
605	|1,897878
606	|1,832441
607	|1,774214
608	|1,78245
609	|1,783956
610	|1,781316
611	|1,807583
612	|1,790836
613	|1,87387
614	|1,84911
615	|1,757471
616	|1,82399
617	|1,783349
618	|1,856532
619	|1,749493
620	|2,127691
621	|1,968237
622	|1,807673
623	|1,766023
624	|1,798994
625	|1,824084
626	|1,743001
627	|1,905227
628	|1,865601
629	|1,741079
630	|1,857124
631	|1,873954
632	|1,815745
633	|1,749283
634	|1,683322
635	|1,799186
636	|1,83247
637	|1,782446
638	|1,898486
639	|2,396981
640	|1,947981
641	|1,891148
642	|1,756996
643	|1,865517
644	|1,898634
645	|2,2305
646	|1,906923
647	|1,923697
648	|1,815656
